epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.247,1.26136,6.19496,1.09429,0,0,0,0,1.09594,6.15809,1.00033,8.90526e-06,8.90526e-06,8.90526e-06
2,1051.61,1.18228,5.85935,1.01365,0.00643,0.01326,0.00438,0.00357,1.10719,5.45538,0.97037,1.7728e-05,1.7728e-05,1.7728e-05
3,1554.14,1.17681,5.2771,0.99391,0.00571,0.10819,0.00611,0.00468,1.1534,4.81701,0.98718,2.63725e-05,2.63725e-05,2.63725e-05
4,2085.33,1.16009,4.84586,0.99225,0.00491,0.10824,0.00638,0.00483,1.11036,4.49529,0.98128,2.61981e-05,2.61981e-05,2.61981e-05
5,2573.54,1.16407,4.58777,0.99466,0.00538,0.12798,0.00728,0.00549,1.09485,4.27593,0.98096,2.59308e-05,2.59308e-05,2.59308e-05
6,3090.7,1.14187,4.40631,0.99587,0.43618,0.0371,0.00878,0.00658,1.08272,4.12528,0.98053,2.56635e-05,2.56635e-05,2.56635e-05
7,3599.41,1.14654,4.2251,0.98969,0.49529,0.02982,0.00977,0.00724,1.10011,3.99743,0.98728,2.53962e-05,2.53962e-05,2.53962e-05
8,4109.26,1.12697,4.06587,0.99488,0.47046,0.03184,0.01057,0.00795,1.06542,3.83665,0.98346,2.51289e-05,2.51289e-05,2.51289e-05
9,4608.54,1.12792,3.97672,0.99146,0.49007,0.03465,0.01116,0.00847,1.0875,3.74099,0.99028,2.48616e-05,2.48616e-05,2.48616e-05
10,5068.73,1.12256,3.86975,0.98935,0.47188,0.03484,0.01232,0.00927,1.06481,3.68271,0.98334,2.45943e-05,2.45943e-05,2.45943e-05
11,5577.8,1.097,3.79717,0.99054,0.47066,0.03753,0.01281,0.00959,1.06694,3.57444,0.98534,2.4327e-05,2.4327e-05,2.4327e-05
12,6074.96,1.09866,3.701,0.9777,0.43449,0.03515,0.01412,0.01047,1.05116,3.52725,0.97847,2.40597e-05,2.40597e-05,2.40597e-05
13,6596.7,1.08915,3.65362,0.99231,0.47382,0.03324,0.01421,0.01066,1.04595,3.4878,0.97739,2.37924e-05,2.37924e-05,2.37924e-05
14,7114.33,1.09855,3.58213,0.98661,0.48037,0.03373,0.01527,0.01154,1.06045,3.41647,0.98273,2.35251e-05,2.35251e-05,2.35251e-05
15,7609.5,1.09197,3.542,0.97815,0.48671,0.03444,0.01508,0.01157,1.03683,3.39482,0.97275,2.32578e-05,2.32578e-05,2.32578e-05
16,8116.89,1.0627,3.47866,0.97797,0.51021,0.03248,0.01635,0.01247,1.04321,3.35664,0.97828,2.29905e-05,2.29905e-05,2.29905e-05
17,8639.64,1.08765,3.45386,0.98135,0.50538,0.03397,0.0172,0.013,1.03182,3.31556,0.97395,2.27232e-05,2.27232e-05,2.27232e-05
18,9142.95,1.06433,3.38837,0.97792,0.49233,0.03384,0.01793,0.01349,1.03852,3.25673,0.975,2.24559e-05,2.24559e-05,2.24559e-05
19,9647.95,1.06275,3.3445,0.97502,0.5047,0.03396,0.01883,0.01422,1.037,3.2312,0.97484,2.21886e-05,2.21886e-05,2.21886e-05
20,10146.7,1.0523,3.30074,0.97904,0.51266,0.03344,0.01936,0.01477,1.03956,3.20948,0.97833,2.19213e-05,2.19213e-05,2.19213e-05
21,10639.6,1.05569,3.29801,0.97793,0.50043,0.03653,0.02046,0.01574,1.04361,3.18157,0.98087,2.1654e-05,2.1654e-05,2.1654e-05
22,11132.3,1.06369,3.2448,0.9802,0.5023,0.03723,0.02094,0.01597,1.02966,3.14339,0.97263,2.13867e-05,2.13867e-05,2.13867e-05
23,11649.2,1.04726,3.2207,0.97391,0.5096,0.03883,0.02149,0.01647,1.03263,3.10491,0.97549,2.11194e-05,2.11194e-05,2.11194e-05
24,12165.5,1.05276,3.18324,0.97254,0.51412,0.04078,0.02229,0.01705,1.02886,3.08068,0.97278,2.08521e-05,2.08521e-05,2.08521e-05
25,12642.9,1.0624,3.17211,0.97615,0.50863,0.0429,0.02313,0.01772,1.02813,3.04995,0.97418,2.05848e-05,2.05848e-05,2.05848e-05
26,13129.8,1.04604,3.14691,0.96564,0.51406,0.0409,0.0237,0.0179,1.02666,3.03775,0.97332,2.03175e-05,2.03175e-05,2.03175e-05
27,13601.1,1.0438,3.1049,0.96915,0.50785,0.03849,0.02427,0.01841,1.01572,3.01577,0.97062,2.00502e-05,2.00502e-05,2.00502e-05
28,14009.2,1.04526,3.11272,0.96766,0.50703,0.03936,0.02469,0.01867,1.02512,2.99592,0.97267,1.97829e-05,1.97829e-05,1.97829e-05
29,14398.3,1.01377,3.05508,0.9634,0.51504,0.04027,0.0256,0.01943,1.0211,2.97567,0.97484,1.95156e-05,1.95156e-05,1.95156e-05
30,14787.7,1.03821,3.07035,0.97467,0.49989,0.04155,0.0266,0.02015,1.03947,2.96111,0.97915,1.92483e-05,1.92483e-05,1.92483e-05
31,15175.4,1.02008,3.01474,0.95953,0.52077,0.04486,0.02646,0.02006,1.02339,2.93426,0.97093,1.8981e-05,1.8981e-05,1.8981e-05
32,15566.6,1.01901,3.02904,0.96835,0.51377,0.04358,0.02726,0.02072,1.03099,2.93268,0.97567,1.87137e-05,1.87137e-05,1.87137e-05
33,15966,1.02876,3.00638,0.96996,0.51892,0.04355,0.02845,0.02177,1.02911,2.91663,0.97563,1.84464e-05,1.84464e-05,1.84464e-05
34,16355,1.0209,2.98923,0.96274,0.52505,0.04525,0.02805,0.02133,1.01659,2.89087,0.97191,1.81791e-05,1.81791e-05,1.81791e-05
35,16740.6,1.01169,2.95556,0.96908,0.51515,0.0479,0.03003,0.02321,1.01292,2.87865,0.97196,1.79118e-05,1.79118e-05,1.79118e-05
36,17127.4,1.03636,2.95091,0.96765,0.53083,0.04345,0.03017,0.02321,1.02221,2.86901,0.97285,1.76445e-05,1.76445e-05,1.76445e-05
37,17514,1.01742,2.9367,0.96052,0.51138,0.04437,0.03116,0.02395,1.01801,2.85737,0.97209,1.73772e-05,1.73772e-05,1.73772e-05
38,17899.1,0.99352,2.91584,0.95973,0.5115,0.04523,0.03216,0.02473,1.02455,2.84451,0.97266,1.71099e-05,1.71099e-05,1.71099e-05
39,18286,1.01612,2.9068,0.95995,0.51076,0.04569,0.03152,0.02421,1.00908,2.83502,0.96972,1.68426e-05,1.68426e-05,1.68426e-05
40,18674.9,1.00607,2.90477,0.95779,0.517,0.04737,0.03257,0.0249,1.02344,2.82221,0.97312,1.65753e-05,1.65753e-05,1.65753e-05
41,19062.8,1.01301,2.86729,0.95809,0.51572,0.04871,0.03322,0.02525,1.02498,2.81693,0.97499,1.6308e-05,1.6308e-05,1.6308e-05
42,19451.8,1.00607,2.83996,0.95437,0.51805,0.04883,0.0347,0.02662,1.01529,2.79404,0.97247,1.60407e-05,1.60407e-05,1.60407e-05
43,19839.2,1.00766,2.8758,0.95476,0.53403,0.0463,0.03503,0.02684,1.01413,2.78636,0.96851,1.57734e-05,1.57734e-05,1.57734e-05
44,20233.3,0.99775,2.85291,0.96421,0.53716,0.04647,0.03501,0.02691,1.01076,2.78167,0.96889,1.55061e-05,1.55061e-05,1.55061e-05
45,20620.3,1.02127,2.86407,0.96413,0.55036,0.04616,0.03625,0.02775,1.0183,2.77493,0.97369,1.52388e-05,1.52388e-05,1.52388e-05
46,21007.6,1.01015,2.84472,0.9622,0.5156,0.04875,0.03606,0.02751,1.0102,2.7535,0.96825,1.49715e-05,1.49715e-05,1.49715e-05
47,21395.4,1.00362,2.81127,0.95811,0.5651,0.0465,0.03709,0.02837,1.02135,2.74915,0.97328,1.47042e-05,1.47042e-05,1.47042e-05
48,21783.4,1.00321,2.79875,0.95129,0.50326,0.0554,0.03803,0.02922,1.01434,2.73864,0.96932,1.44369e-05,1.44369e-05,1.44369e-05
49,22171.8,1.01022,2.8017,0.9646,0.51838,0.05021,0.03813,0.02908,1.02315,2.73247,0.97346,1.41696e-05,1.41696e-05,1.41696e-05
50,22559.1,0.97964,2.7778,0.9481,0.54612,0.04859,0.03896,0.0298,1.01409,2.72581,0.97021,1.39023e-05,1.39023e-05,1.39023e-05
51,22946.6,1.00921,2.78082,0.96218,0.53042,0.04861,0.03998,0.03058,1.00794,2.71832,0.96773,1.3635e-05,1.3635e-05,1.3635e-05
52,23332.3,1.00138,2.77859,0.9641,0.49582,0.05716,0.03991,0.03055,1.02024,2.70644,0.97346,1.33677e-05,1.33677e-05,1.33677e-05
53,23719,0.98744,2.75632,0.95019,0.51723,0.0541,0.04103,0.03141,1.00937,2.70851,0.96757,1.31004e-05,1.31004e-05,1.31004e-05
54,24107.6,0.99597,2.73687,0.95504,0.51617,0.06027,0.04148,0.0316,1.02442,2.70181,0.97269,1.28331e-05,1.28331e-05,1.28331e-05
55,24493.3,0.98788,2.75645,0.94872,0.49802,0.05992,0.04235,0.03231,1.01757,2.69313,0.96998,1.25658e-05,1.25658e-05,1.25658e-05
