epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59353,1.47585,2.40028,1.69974,0.55696,0.85,0.87771,0.63479,1.65548,1.07042,1.37972,0,0,0
2,3.23656,1.64056,3.94246,1.90152,0.54058,0.85,0.88621,0.61906,1.67267,1.07676,1.38623,1.17822e-06,1.17822e-06,1.17822e-06
3,4.72465,1.63583,2.79861,1.86661,0.5435,0.85,0.85428,0.61957,1.70268,1.07774,1.39759,2.33288e-06,2.33288e-06,2.33288e-06
4,6.20012,1.35677,2.56655,1.42909,0.60557,0.92821,0.90503,0.62443,1.68167,1.07052,1.37563,3.46397e-06,3.46397e-06,3.46397e-06
5,7.76012,1.81676,3.30023,1.99794,0.80904,0.65,0.85629,0.63686,1.68328,1.07527,1.37216,4.5715e-06,4.5715e-06,4.5715e-06
6,9.31436,2.03064,3.28924,2.03669,0.82449,0.64968,0.86019,0.63842,1.6781,1.07529,1.36869,5.65548e-06,5.65548e-06,5.65548e-06
7,10.7565,1.80921,2.62036,1.93791,0.80306,0.65,0.88642,0.63053,1.6794,1.08035,1.36823,6.71588e-06,6.71588e-06,6.71588e-06
8,12.261,1.60909,4.01273,2.04226,0.80744,0.65,0.89428,0.63116,1.66954,1.06553,1.3605,7.75273e-06,7.75273e-06,7.75273e-06
9,13.7385,2.288,2.73828,2.43238,0.6366,0.94265,0.90816,0.62995,1.67278,1.07143,1.35989,8.76602e-06,8.76602e-06,8.76602e-06
10,15.3788,1.63575,2.62572,1.78643,0.65497,0.94566,0.90935,0.63149,1.67571,1.07651,1.3599,9.75574e-06,9.75574e-06,9.75574e-06
11,17.0529,1.91417,4.1454,2.14113,0.66451,0.78157,0.91141,0.63251,1.68157,1.08247,1.3606,1.07219e-05,1.07219e-05,1.07219e-05
12,18.7176,1.96357,2.4893,1.9298,0.66538,0.78139,0.9113,0.64309,1.67772,1.08348,1.36037,1.16645e-05,1.16645e-05,1.16645e-05
13,20.3371,1.64171,3.06571,1.80607,0.66701,0.78297,0.91135,0.63094,1.68217,1.08874,1.36228,1.25835e-05,1.25835e-05,1.25835e-05
14,22.0338,1.68598,2.43016,1.72464,0.66984,0.77965,0.91221,0.63346,1.68403,1.10254,1.36406,1.3479e-05,1.3479e-05,1.3479e-05
15,23.6275,1.62102,2.25761,1.8431,0.66759,0.77905,0.91172,0.63769,1.6847,1.11446,1.36563,1.43509e-05,1.43509e-05,1.43509e-05
16,25.4273,1.40999,1.95434,1.52092,0.66551,0.77767,0.91146,0.63727,1.6726,1.1179,1.36536,1.51993e-05,1.51993e-05,1.51993e-05
17,27.3469,1.54691,2.89219,2.05804,0.66429,0.77551,0.91151,0.63299,1.67639,1.12607,1.36763,1.60241e-05,1.60241e-05,1.60241e-05
18,29.173,2.22841,3.19111,2.52676,0.66429,0.77551,0.91151,0.63299,1.67639,1.12607,1.36763,1.68253e-05,1.68253e-05,1.68253e-05
19,30.7482,1.24411,1.70994,1.5677,0.66536,0.77426,0.90917,0.62006,1.68413,1.14128,1.37213,1.7603e-05,1.7603e-05,1.7603e-05
20,32.1995,1.50179,1.61658,1.6835,0.66536,0.77426,0.90917,0.62006,1.68413,1.14128,1.37213,1.83571e-05,1.83571e-05,1.83571e-05
21,33.774,1.64296,3.9957,1.8408,0.66024,0.76659,0.90786,0.61335,1.70693,1.17897,1.38838,1.90876e-05,1.90876e-05,1.90876e-05
