epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.829,0,117.947,0,0,0,0,0,0,125.094,0,0.0001666,0.0001666,0.0001666
2,150.729,0,105.788,0,0,0,0,0,0,121.568,0,0.000338149,0.000338149,0.000338149
3,217.3,0,98.46,0,0,0,0,0,0,111.255,0,0.000506234,0.000506234,0.000506234
4,283.631,0,93.7048,0,0,0,0,0,0,93.8741,0,0.000670856,0.000670856,0.000670856
5,349.405,0,89.0563,0,0,0,0,0,0,77.3459,0,0.000800013,0.000800013,0.000800013
6,415.036,0,84.0431,0,0,0,0,0,0,82.9149,0,0.000791767,0.000791767,0.000791767
7,481.173,0,78.651,0,0,0,0,0,0,81.0712,0,0.00078352,0.00078352,0.00078352
8,547.153,0,73.3012,0,0,0,0,0,0,78.7263,0,0.000775273,0.000775273,0.000775273
9,614.247,0,68.0188,0,0,0,0,0,0,72.7542,0,0.000767026,0.000767026,0.000767026
10,687.382,0,62.9349,0,0,0,0,0,0,65.5737,0,0.00075878,0.00075878,0.00075878
11,758.174,0,58.4415,0,0,0,0,0,0,72.7271,0,0.000750533,0.000750533,0.000750533
