epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.274,0.90835,2.14002,0.97623,0.8825,0.06706,0.03487,0.02045,1.31766,15.3148,1.25795,0.000275864,0.000275864,0.000275864
2,1066.08,0.74562,1.32703,0.90721,0.41927,0.06741,0.09149,0.04337,1.6335,12.4383,1.70432,0.00054805,0.00054805,0.00054805
3,1587.93,0.71439,1.1219,0.90071,0.75106,0.06997,0.07983,0.03736,1.45905,10.0805,1.44835,0.000814739,0.000814739,0.000814739
4,2100.32,0.66638,0.98252,0.88954,0.8188,0.07143,0.08523,0.04355,1.68499,8.11247,1.59889,0.00080826,0.00080826,0.00080826
5,2600.6,0.60113,0.89551,0.87379,0.8252,0.07324,0.0992,0.05544,1.78552,6.56777,1.99779,0.000800013,0.000800013,0.000800013
6,3127.2,0.57968,0.81983,0.86487,0.8095,0.0656,0.06817,0.02891,1.76219,6.22505,1.91911,0.000791767,0.000791767,0.000791767
7,3638.87,0.55095,0.77055,0.85875,0.83242,0.12828,0.13865,0.08972,1.51521,6.18706,1.57241,0.00078352,0.00078352,0.00078352
8,4135.88,0.52735,0.73159,0.8554,0.82666,0.06997,0.11765,0.074,1.6341,4.72671,1.72351,0.000775273,0.000775273,0.000775273
9,4633.64,0.50062,0.68487,0.84802,0.66579,0.13446,0.17288,0.10984,1.54338,5.02515,1.61644,0.000767026,0.000767026,0.000767026
10,5131.91,0.49038,0.64928,0.84815,0.75166,0.0656,0.14651,0.08653,1.5857,4.68088,1.6243,0.00075878,0.00075878,0.00075878
11,5640.3,0.46434,0.61504,0.84486,0.04955,0.84195,0.19294,0.11883,1.43691,4.56596,1.39486,0.000750533,0.000750533,0.000750533
12,6153.28,0.45544,0.59453,0.84124,0.27985,0.16973,0.19864,0.11992,1.41648,3.80905,1.5085,0.000742286,0.000742286,0.000742286
13,6711.94,0.44665,0.58571,0.8429,0.55098,0.07604,0.17947,0.08487,1.60889,4.86764,1.55784,0.00073404,0.00073404,0.00073404
14,7225.11,0.44691,0.5521,0.83795,0.49856,0.15576,0.15791,0.10745,1.52355,3.79999,1.554,0.000725793,0.000725793,0.000725793
15,7740.18,0.43233,0.53923,0.8336,0.59996,0.08333,0.1124,0.07614,1.41087,5.27339,1.66301,0.000717546,0.000717546,0.000717546
16,8299.77,0.41944,0.54216,0.83449,0.5055,0.11516,0.14846,0.10713,1.57593,5.03956,1.56178,0.000709299,0.000709299,0.000709299
17,8861.59,0.421,0.53255,0.8327,0.28994,0.13341,0.17836,0.11185,1.92586,4.43194,2.04199,0.000701053,0.000701053,0.000701053
18,9389.15,0.41742,0.52036,0.83533,0.97378,0.06122,0.16222,0.10264,1.9528,8.03781,2.06346,0.000692806,0.000692806,0.000692806
19,9918.78,0.40211,0.50326,0.82721,0.27798,0.30935,0.21256,0.14493,1.50195,5.66511,1.6432,0.000684559,0.000684559,0.000684559
20,10451,0.39551,0.50387,0.82892,0.10525,0.33807,0.20536,0.13651,1.47509,3.47266,1.58721,0.000676313,0.000676313,0.000676313
21,11038.7,0.39339,0.50017,0.8301,0.05414,0.57151,0.17227,0.10772,1.35584,3.31598,1.43369,0.000668066,0.000668066,0.000668066
22,11553.5,0.38801,0.48726,0.8303,0.30569,0.27099,0.29953,0.15223,1.39861,4.47778,1.54957,0.000659819,0.000659819,0.000659819
23,12057.3,0.37756,0.47617,0.82652,0.28123,0.25725,0.16388,0.08433,1.49329,4.97717,1.56929,0.000651573,0.000651573,0.000651573
24,12562.6,0.37407,0.47495,0.82603,0.30352,0.15718,0.17213,0.12993,1.55439,4.53825,1.54113,0.000643326,0.000643326,0.000643326
25,13056.5,0.37877,0.46806,0.82758,0.62787,0.08188,0.15396,0.0847,1.62649,8.09378,1.69628,0.000635079,0.000635079,0.000635079
26,13549.1,0.3704,0.45766,0.82682,0.34696,0.18756,0.11243,0.07679,1.54013,5.43317,1.59468,0.000626832,0.000626832,0.000626832
27,14042.4,0.35848,0.43985,0.8229,0.19936,0.39904,0.27938,0.14534,1.63403,6.03623,1.58276,0.000618586,0.000618586,0.000618586
28,14546.1,0.36066,0.44646,0.82282,0.27883,0.28019,0.26665,0.17162,1.58643,8.48201,1.61083,0.000610339,0.000610339,0.000610339
29,15041.1,0.35411,0.42538,0.82274,0.33755,0.35246,0.26201,0.15108,1.68222,7.76576,1.83726,0.000602092,0.000602092,0.000602092
30,15535.2,0.35603,0.43786,0.82501,0.34835,0.50079,0.31304,0.19686,1.52809,6.89183,1.56336,0.000593846,0.000593846,0.000593846
31,16041.3,0.34676,0.42174,0.81821,0.11515,0.35544,0.23434,0.158,1.4259,6.27455,1.50936,0.000585599,0.000585599,0.000585599
